"Name","Status","Priority","Persona","Epic","Size","MVP","Acceptance Criteria (summary)","Source"
"AUR-023 Live-readiness structured checklist [Roadmap]","Todo","P1 [Roadmap]","Marta","D1 Live Readiness Gate","L","MVP [Roadmap]","Per-check status + evidence + timestamp; no UI bypass; force-dynamic","PRD LR-03"
"AUR-026 Global autonomy ceiling + preflight UI [Roadmap-sim]","Todo","P1 [Roadmap]","Marta","D2 AI Autonomy Control","L","MVP [Roadmap]","/invest/autonomy shows ceiling state; per-lane preflight table; enable confirmation dialog; autonomy_events logged","Autonomy PRD AUT-01, AUT-05"
"AUR-029 Autonomy events log on /invest/autonomy [Roadmap-sim]","Todo","P1 [Roadmap]","Marta","D2 AI Autonomy Control","M","MVP [Roadmap]","Timeline of autonomy_events; auto orders badged in /invest/orders; append-only records","Autonomy PRD AUT-37, AUT-38, AUT-40"
"AUR-055 Analytics table th scope","Todo","P1 (a11y)","Sione","H3 Table/Tab A11y","S","MVP","All th elements have scope=""col"" or ""row""; axe-core clean; visual unchanged","Code Audit · accessibility-rule.md"
"AUR-053 Signal safety language check","Todo","P1","Sione","H2 Signal Safety Language","S","MVP","Grep CI check for forbidden strings; disclaimer on every signal card; i18n key","PRD UX-12 · financial-ui-safety-rule.md"
"AUR-002 Price staleness indicator","Todo","P1","Theo","A1 Market Overview","S","MVP","isStale=true shows visible indicator + accessible label; no price displayed without timestamp","PRD UX-02 · MD-02"
"AUR-008 Lane ID display names","Todo","P2","Sione","B1 Confidence/Explainability","S","Nice-to-have","Mapper converts lane IDs to display names; no raw IDs visible; unit-tested","PRD SL-05 · UX H2 Low"
"AUR-006 Signal guide tooltip","Todo","P2","Theo","B1 Confidence/Explainability","S","Nice-to-have","? icon opens popover with score/confidence legend; focus trap; Escape dismisses; aria-describedby","UX H10 Medium"
"AUR-007 Signal detail history/accuracy/ROI/news tabs","Todo","P2","Sione","B1 Confidence/Explainability","L","Nice-to-have","4 tabs: History, Accuracy, ROI, News Impact; server read models; all 4 states; no guaranteed-return language","PRD AN-08 · Gap Audit"
"AUR-009 News ingestion enrichment","Todo","P2","Theo","A2 Market Ticker","L","Nice-to-have","News schema extended: assetIds, entities, riskTags, whyItMatters, articleId; deduplication; stale flagging","PRD AC-06 · Gap Audit"
"AUR-014 Position-size-vs-cash soft warning","Todo","P2","Sione","C2 Simulation Trade Flow","S","Nice-to-have","Amber warning when estimatedGross/availableCash>25%; server-computed; i18n key; does not block submit","UX H5 Low"
"AUR-015 Sticky section nav on simulation cockpit","Todo","P2","Sione","C2 Simulation Trade Flow","M","Nice-to-have","Sticky nav with fragment anchors for 5 sections; keyboard-navigable; mobile scrollable strip","UX H8 Medium"
"AUR-016 ""Clear prepared ticket"" as secondary button","Todo","P2","Sione","C2 Simulation Trade Flow","S","Nice-to-have","3 ticket actions as button--secondary; min 44px tap target; behavior unchanged","UX H3 Medium · Part 4 Medium"
"AUR-017 Lane descriptions in BrokerModeLaunchpad","Todo","P2","Sione","C2 Simulation Trade Flow","S","Nice-to-have","One-sentence description per lane; ""What is a simulation lane?"" collapsible; i18n keys; no guaranteed-return language","UX H6 Medium · H10 Medium"
"AUR-020 ⌘K chip in header","Todo","P2","Theo","C3 Navigation Efficiency","S","Nice-to-have","Persistent ""Search ⌘K"" chip in header; activates palette; aria-label; authenticated routes only","UX H6 Low · H7 Medium"
"AUR-021 Resume simulation in account menu","Todo","P2","Sione","C3 Navigation Efficiency","S","Nice-to-have","""Resume simulation"" link + equity subtitle in account menu when portfolioSnapshot non-null; no extra fetch","UX H7 Medium"
"AUR-022 Primary CTA on dashboard band","Todo","P2","Sione","C3 Navigation Efficiency","S","Nice-to-have","State-based primary CTA (simulation active → Open Cockpit; else → Open Market); others secondary; server-side","UX H8 Medium"
"AUR-024 Simulation audit export [Roadmap]","Todo","P1 [Roadmap]","Marta","D1 Live Readiness Gate","L","MVP [Roadmap]","Server-side PDF/CSV export: sim summary, signal history, risk gate outcomes, P&L, lane config; no guaranteed-return language","PRD LR-04"
"AUR-028 Per-lane autonomy status panels [Roadmap-sim]","Todo","P1 [Roadmap]","Marta","D2 AI Autonomy Control","M","Nice-to-have [Roadmap]","Orders today, daily P&L vs cap, drawdown vs cap, next cycle; ≤30s polling; Page Visibility API; read models","Autonomy PRD AUT-15, AUT-50"
"AUR-030 Banking adapter abstraction [Roadmap]","Todo","P1 [Roadmap]","Marta","E1 Banking/Funding","L","MVP [Roadmap]","BankingAdapter interface in packages/agents; sandbox default; distinct credentials; independent from broker","PRD BK-01, BK-02"
"AUR-031 Fund movement auditability [Roadmap]","Todo","P0 [Roadmap]","Marta","E1 Banking/Funding","L","MVP [Roadmap]","Every deposit/withdrawal transactional + append-only; human-authorized only; stale source blocks readiness","PRD BK-03, BK-04"
"AUR-004 Market ticker degraded state label","Todo","P2","Theo","A2 Market Ticker","S","Nice-to-have","""Ticker unavailable"" chip when freshnessState=unavailable; aria-label; auto-resumes when data returns","UX H1 Low"
"AUR-048 Orphan component + dead code removal","Todo","P2","Engineer","G4 Dead Code/Reconciliation","M","Nice-to-have","~28 orphan components deleted; 10 unwired forecasting modules removed or documented; noUnusedLocals/noUnusedParameters in tsconfig; stale .js artifacts removed","Code Audit"
"AUR-051 Configurable simulation cash currency (EUR default)","Todo","P2","Marta","G6 Cash Currency","L","Nice-to-have","cash_currency column on simulation_accounts (default EUR); FX conversion applied; P&L in account currency; FX unavailable shows disclaimer","PRD SE-11 · AC-01 · Gap Audit"
"AUR-056 Claude Finance integration","Todo","P2","Sione","H4 Claude Finance","L","Nice-to-have","ClaudeFinanceProvider abstraction; ""AI-generated"" label; own confidence score; one signal input; unavailable → graceful fallback; no risk gate override","PRD AN-09 · Gap Audit"
"AUR-052 Navigation IA restructure","Done","P1","Sione","H1 Navigation IA","L","MVP","4 decision-funnel groups; 32→25 destinations; Legal moved to footer","UX H8 High · PRD UX-11"
